m [g],r [cm],rho [g/cm^3],T [K],P [dyn/cm^2],l [erg/s],epsilon [erg/g/s],kappa [cm^2/g],nabla_ad,nabla,Mode
1.988000e+23,8.121192e+06,8.860707e+01,1.372420e+07,1.631737e+17,2.791415e+24,1.404131e+01,1.500835e+00,0.4218,0.3821,Radiative
1.988000e+23,8.121192e+06,8.860707e+01,1.372420e+07,1.631737e+17,2.791415e+24,1.404131e+01,1.500835e+00,0.4218,0.3821,Radiative
1.988000e+23,8.121192e+06,8.860707e+01,1.372420e+07,1.631737e+17,2.791415e+24,1.404131e+01,1.500835e+00,0.4218,0.3821,Radiative
1.988000e+23,8.121192e+06,8.860707e+01,1.372420e+07,1.631737e+17,2.791415e+24,1.404131e+01,1.500835e+00,0.4218,0.3821,Radiative
1.988000e+23,8.121192e+06,8.860707e+01,1.372420e+07,1.631737e+17,2.791415e+24,1.404131e+01,1.500835e+00,0.4218,0.3821,Radiative
1.988000e+23,8.121192e+06,8.860707e+01,1.372420e+07,1.631737e+17,2.791415e+24,1.404131e+01,1.500835e+00,0.4218,0.3821,Radiative
1.988000e+23,8.121192e+06,8.860707e+01,1.372420e+07,1.631737e+17,2.791415e+24,1.404131e+01,1.500835e+00,0.4218,0.3821,Radiative
1.988000e+23,8.121192e+06,8.860707e+01,1.372420e+07,1.631737e+17,2.791415e+24,1.404131e+01,1.500835e+00,0.4218,0.3821,Radiative
1.988000e+23,8.121192e+06,8.860707e+01,1.372420e+07,1.631737e+17,2.791415e+24,1.404131e+01,1.500835e+00,0.4218,0.3821,Radiative
1.988000e+23,8.121192e+06,8.860707e+01,1.372420e+07,1.631737e+17,2.791415e+24,1.404131e+01,1.500835e+00,0.4218,0.3821,Radiative
1.988004e+23,8.121197e+06,8.860707e+01,1.372420e+07,1.631737e+17,2.791420e+24,1.404131e+01,1.500835e+00,0.4218,0.3821,Radiative
1.988037e+23,8.121242e+06,8.860707e+01,1.372420e+07,1.631737e+17,2.791467e+24,1.404131e+01,1.500835e+00,0.4218,0.3821,Radiative
1.988373e+23,8.121699e+06,8.860707e+01,1.372420e+07,1.631737e+17,2.791938e+24,1.404131e+01,1.500835e+00,0.4218,0.3821,Radiative
1.991728e+23,8.126265e+06,8.860707e+01,1.372420e+07,1.631737e+17,2.796650e+24,1.404131e+01,1.500835e+00,0.4218,0.3821,Radiative
